source (en),translation (ko)
Django won't bother displaying the filter for a ``ManyToManyField`` if there are no related objects.,장고는 관련된 개체가 없으면 ``ManyToManyField``에 대한 필터를 나타내지 않습니다.
"For example, if your :attr:`~django.contrib.admin.ModelAdmin.list_filter` includes :doc:`sites </ref/contrib/sites>`, and there are no sites in your database, it won't display a ""Site"" filter. In that case, filtering by site would be meaningless.","예를 들어, attr:`~django.contrib.admin.ModelAdmin.list_filter`\ 가 :doc:`sites </ref/contrib/sites>` 를 포함하고 있고 여러분의 데이터베이스에 사이트가 없다면, 'Site' 필터를 표시하지 않을 것 입니다. 이러한 경우에 site로 필터링하는 것은 의미가 없습니다."
"Another reason that a bug might be ignored for a while is if the bug is a symptom of a larger problem. While we can spend time writing, testing and applying lots of little patches, sometimes the right solution is to rebuild. If a rebuild or refactor of a particular component has been proposed or is underway, you may find that bugs affecting that component will not get as much attention. Again, this is a matter of prioritizing scarce resources. By concentrating on the rebuild, we can close all the little bugs at once, and hopefully prevent other little bugs from appearing in the future.","버그가 무시되어질 수 있는 또 다른 이유는 버그가 큰 문제의 징후일 수 있기 때문입니다. 저희들이 굉장히 많은 작은 패치들을 작성하고 테스팅할 때, 가끔은 새로 빌드하는 것이 올바른 방법일 경우가 있습니다. 만약 특정 요소들을 새로 빌드하거나 재개발하는 것으로 결정되거나 진행중에 있다면, 해당 요소에 영향을 주는 버그들은 많은 관심을 받지 못할 것입니다. 다시한번 말씀드리면, 이것은 적은 자원에 따른 우선순위를 정하는 문제입니다. 새로 빌드하는것에 집중하므로써, 저희들은 한번에 작은 버그들을 닫고, 미래에 발생할 작은 버그들을 방지할 수 있습니다."
"Whatever the reason, please keep in mind that while you may hit a particular bug regularly, it doesn't necessarily follow that every single Django user will hit the same bug. Different users use Django in different ways, stressing different parts of the code under different conditions. When we evaluate the relative priorities, we are generally trying to consider the needs of the entire community, instead of prioritizing the impact on one particular user. This doesn't mean that we think your problem is unimportant -- just that in the limited time we have available, we will always err on the side of making 10 people happy rather than making a single person happy.","이유가 무엇이든 간에, 당신이 어떤 버그를 주기적으로 발생시킨다고 해서 다른 장고 유저들 모두가 같은 버그를 발생시키지 않는다는 것을 알아야 합니다. 장고를 사용하는 사람들 각각은 서로 다른 환경에서 서로 다른 부분의 코드를 강조하여 장고를 다른 방식으로 장고를 사용합니다. 저희가 상대적인 우선 순위를 정할 때에는, 일반적으로 특정 한 사용자의 영향을 우선시하기보다는 전체 커뮤니티의 요구를 반영하려고 노력합니다. 이것은 당신이 가지고 있는 문제가 중요하지 않다는 의미가 아니라, 저희가 가지고 있는 시간이 제한되어 있기 때문입니다. 저희들은 항상 한 사람을 행복하게 하기보다 10명을 행복하게 하는 잘못을 범하고 있습니다."
"I'm sure my ticket is absolutely 100% perfect, can I mark it as ""Ready For Checkin"" myself?","100% 완벽하다고 확신할 수 있는 티켓을 직접 ""체크인 준비 완료""로 표시할 수 있습니까?"
"Sorry, no. It's always better to get another set of eyes on a ticket. If you're having trouble getting that second set of eyes, see questions above.",죄송합니다. 티켓을 확인해 줄 다른 사람을 찾는 것이 무조건 더 좋습니다. 다른 사람을 찾는 데 문제가 있는 경우 위의 질문을 참조하세요.
"Django grew from a very practical need: World Online, a newspaper web operation, is responsible for building intensive web applications on journalism deadlines. In the fast-paced newsroom, World Online often has only a matter of hours to take a complicated web application from concept to public launch.",장고는 굉장히 실용적인 요구에 의해 만들어 졌습니다.: World Online이라는 뉴스 웹 관리 시스템은 마감 기한에 맞추는 웹 애플리케이션을 만드는 책임이 있었습니다. 빠르게 변화하는 뉴스룸에서 World Online은 복잡한 웹 애플리케이션을 구상해서 공개하기 까지 단 몇시간여 밖에 주어지지 않곤 했습니다.
"At the same time, the World Online web developers have consistently been perfectionists when it comes to following best practices of web development.","동시에, World Online의 웹 개발자들은 웹 개발의 최고의 시도를 따르는 것에 관해서는 완벽주의자들 이었습니다."
"In fall 2003, the World Online developers (Adrian Holovaty and Simon Willison) ditched PHP and began using Python to develop its websites. As they built intensive, richly interactive sites such as Lawrence.com, they began to extract a generic web development framework that let them build web applications more and more quickly. They tweaked this framework constantly, adding improvements over two years.","2003년 가을, World Online의 개발자들(Adrian Holovat and Simon Willison)은 PHP를 버리고 파이썬을 웹을 개발하는데 사용하였습니다. Lawrence.com과 같은 탄탄하고 굉장히 상호작용적인 사이트들을 만들면서, 그들은 웹 애플리케이션을 더 빠르게 만들 수 있는 웹 개발 프래임워크 속성들을 추출해내기 시작하였습니다. 그들은 이 프래임워크를 지속적으로 조작하고 2년간에 걸쳐 향상시켰습니다."
"Django uses a ""shared-nothing"" architecture, which means you can add hardware at any level -- database servers, caching servers or web/application servers.","장고는 ""shared-nothing""이라는 구조를 사용합니다. 이것은 데이터베이스 서버, 캐싱 서버 혹은 웹 애플리케이션 서버의 어느 단에서도 하드웨어를 추가할 수 있다는 의미입니다."
