source (en),translation (ko)
"This document describes how to make use of external authentication sources (where the web server sets the ``REMOTE_USER`` environment variable) in your Django applications.  This type of authentication solution is typically seen on intranet sites, with single sign-on solutions such as IIS and Integrated Windows Authentication or Apache and `mod_authnz_ldap`_, `CAS`_, `Cosign`_, `WebAuth`_, `mod_auth_sspi`_, etc.","이 문서는 Django 애플리케이션에서 외부 인증 소스(``REMOTE_USER`` 환경변수를 설정한 웹서버)를 사용하는 방법을 기술합니다. 이러한 인증 방법은 대개 인트라넷, IIS와 통합된 윈도우즈 인증 또는 Apache의 `mod_authnz_ldap`_, `CAS`_, `WebAuth`_, `mod_auth_sspi`_ 등과 같은 싱글 사인온 솔루션에서 볼 수 있습니다."
"When the web server takes care of authentication it typically sets the ``REMOTE_USER`` environment variable for use in the underlying application.  In Django, ``REMOTE_USER`` is made available in the :attr:`request.META <django.http.HttpRequest.META>` attribute.  Django can be configured to make use of the ``REMOTE_USER`` value using the ``RemoteUserMiddleware`` or ``PersistentRemoteUserMiddleware``, and :class:`~django.contrib.auth.backends.RemoteUserBackend` classes found in :mod:`django.contrib.auth`.",웹 서버에서 인증을 관리할 때 대개 내부 어플리케이션을 사용하기 위해 ``REMOTE_USER`` 환경 변수를 설정합니다. ``REMOTE_USER`` 값은 ``RemoteUserMiddleware`` 혹은 ``PersistentRemoteUserMiddleware``\에서 사용됩니다. :mod:`django.contrib.auth`\에서 :class:`~django.contrib.auth.backends.RemoteUserBackend` 클래스를 찾을 수 있습니다.
How to use Django's CSRF protection,장고의 CSRF 보호를 사용하는 방법
"To take advantage of CSRF protection in your views, follow these steps:",당신의 뷰에서 CSRF 보호를 활용하려면 다음 단계를 따르십시오:
"The CSRF middleware is activated by default in the :setting:`MIDDLEWARE` setting. If you override that setting, remember that ``'django.middleware.csrf.CsrfViewMiddleware'`` should come before any view middleware that assume that CSRF attacks have been dealt with.","CSRF 미들웨어는 :setting:`MIDDLEWARE` 설정에서 기본적으로 활성화되어 있습니다. 해당 설정을 덮어쓰는 경우에는, CSRF 공격이 처리되었다고 가정하는 모든 뷰 미들웨어 앞에 ``'django.middleware.csrf.CsrfViewMiddleware'``가 와야 함을 기억하십시오."
"If you disabled it, which is not recommended, you can use :func:`~django.views.decorators.csrf.csrf_protect` on particular views you want to protect (see below).","사용하지 않도록 설정한 경우(권장하지 않음), 보호하려는 특정 뷰에서 :func:`~django.views.decorators.csrf.csrf_protect`를 사용할 수 있습니다(아래 참조)."
"In any template that uses a POST form, use the :ttag:`csrf_token` tag inside the ``<form>`` element if the form is for an internal URL, e.g.:","POST 양식을 사용하는 모든 템플릿에서, 양식이 내부 URL용인 경우 ``<form>`` 요소 내부에 :ttag:`csrf_token` 태그를 사용하세요. 예:"
"This should not be done for POST forms that target external URLs, since that would cause the CSRF token to be leaked, leading to a vulnerability.",외부 URL을 대상으로 하는 POST 양식에 대해서는 이렇게 할 수 없습니다. CSRF 토큰이 누출되어 취약점이 발생할 수 있기 때문입니다.
"In the corresponding view functions, ensure that :class:`~django.template.RequestContext` is used to render the response so that ``{% csrf_token %}`` will work properly. If you're using the :func:`~django.shortcuts.render` function, generic views, or contrib apps, you are covered already since these all use ``RequestContext``.","해당 뷰 함수에서 :class:`~django.template.RequestContext`가 응답을 렌더링하는 데 사용되는지 확인하여 ``{% csrf_token %}``이 제대로 작동하도록 하십시오. 만약 :func:`~django.shortcuts.render` 함수, 제네릭 뷰, 또는 contrib apps를 사용하는 경우, 이들은 모두 ``RequestContext``를 사용하므로 확인할 필요가 업습니다."
Using CSRF protection with AJAX,AJAX와 함께 CSRF 보호 사용
"While the above method can be used for AJAX POST requests, it has some inconveniences: you have to remember to pass the CSRF token in as POST data with every POST request. For this reason, there is an alternative method: on each XMLHttpRequest, set a custom ``X-CSRFToken`` header (as specified by the :setting:`CSRF_HEADER_NAME` setting) to the value of the CSRF token. This is often easier because many JavaScript frameworks provide hooks that allow headers to be set on every request.","위의 방법을 AJAX POST 요청에 사용할 수 있지만 몇 가지 불편한 점이 있습니다: 모든 POST 요청에 POST 데이터로 CSRF 토큰을 전달해야 합니다. 이러한 불편함 때문에, 다른 대체 방법이 있습니다: 각 XMLHttpRequest에서 사용자 지정 ``X-CSRFToken`` 헤더(:setting:`CSRF_HEADER_NAME` 설정에 지정된 대로)를 CSRF 토큰 값으로 설정합니다. 많은 JavaScript 프레임워크가 모든 요청에 대해 헤더를 설정할 수 있도록 하는 후크를 제공하기 때문에 이 방식이 종종 더 쉽습니다."
"First, you must get the CSRF token. How to do that depends on whether or not the :setting:`CSRF_USE_SESSIONS` and :setting:`CSRF_COOKIE_HTTPONLY` settings are enabled.","먼저, CSRF 토큰을 받아야 합니다. 그 방법은 :setting:`CSRF_USE_SESSIONS` 및 :setting:`CSRF_COOKIE_HTTPONLY` 설정이 활성화되어 있는지 여부에 따라 다릅니다."
Acquiring the token if :setting:`CSRF_USE_SESSIONS` and :setting:`CSRF_COOKIE_HTTPONLY` are ``False``,:setting:`CSRF_USE_SESSIONS` 및 :setting:`CSRF_COOKIE_HTTPONLY`가 ``False``인 경우 토큰 획득
"The recommended source for the token is the ``csrftoken`` cookie, which will be set if you've enabled CSRF protection for your views as outlined above.","토큰의 권장 원본은 ``csrftoken`` 쿠키이며, 이는 위에서 설명한 대로 뷰에 대해 CSRF 보호를 활성화한 경우 자동으로 설정됩니다."
"The CSRF token cookie is named ``csrftoken`` by default, but you can control the cookie name via the :setting:`CSRF_COOKIE_NAME` setting.",CSRF 토큰 쿠키의 이름은 기본적으로 ``csrftoken``이지만 :setting:`CSRF_COOKIE_NAME` 설정을 통해 쿠키 이름을 설정할 수 있습니다.
You can acquire the token like this:,다음과 같이 토큰을 획득할 수 있습니다:
The above code could be simplified by using the `JavaScript Cookie library <https://github.com/js-cookie/js-cookie/>`_ to replace ``getCookie``:,위의 코드는 ``getCookie``를 대체하기 위한 `JavaScript 쿠키 라이브러리 <https://github.com/js-cookie/js-cookie/>`_를 사용하여 단순화할 수 있습니다.
"The CSRF token is also present in the DOM in a masked form, but only if explicitly included using :ttag:`csrf_token` in a template. The cookie contains the canonical, unmasked token. The :class:`~django.middleware.csrf.CsrfViewMiddleware` will accept either. However, in order to protect against `BREACH`_ attacks, it's recommended to use a masked token.",CSRF 토큰은 템플릿에서 :ttag:`csrf_token`을 사용하여 명시적으로 include된 경우에만 DOM에도 마스크된 형태로 존재합니다. 쿠키에는 마스크되지 않은 표준 토큰이 포함되어 있습니다. :class:`~django.middleware.csrf.CsrfViewMiddleware`는 둘 중 하나를 수락합니다. 그러나 BREACH`_ 공격으로부터 보호하기 위해서는 마스킹된 토큰을 사용하는 것이 좋습니다.
