source (en),translation (ko)
``mysite/news/models.py``,``mysite/news/models.py``
``mysite/news/admin.py``,``mysite/news/admin.py``
``mysite/news/urls.py``,``mysite/news/urls.py``
``mysite/news/views.py``,``mysite/news/views.py``
``mysite/news/templates/news/year_archive.html``,``mysite/news/templates/news/year_archive.html``
``mysite/templates/base.html``,``mysite/templates/base.html``
``django-polls/README.rst``,``django-polls/README.rst``
``django-polls/pyproject.toml``,``django-polls/pyproject.toml``
``django-polls/setup.cfg``,``django-polls/setup.cfg``
``django-polls/setup.py``,``django-polls/setup.py``
``django-polls/MANIFEST.in``,``django-polls/MANIFEST.in``
``polls/views.py``,``polls/views.py``
``polls/urls.py``,``polls/urls.py``
``mysite/urls.py``,``mysite/urls.py``
``polls/models.py``,``polls/models.py``
``mysite/settings.py``,``mysite/settings.py``
"It's tailored to the database you're using, so database-specific field types such as ``auto_increment`` (MySQL), ``bigint PRIMARY KEY GENERATED BY DEFAULT AS IDENTITY`` (PostgreSQL), or ``integer primary key autoincrement`` (SQLite) are handled for you automatically. Same goes for the quoting of field names -- e.g., using double quotes or single quotes.","사용하는 데이터베이스에 따라, 데이터베이스 고유의 필드타입이 조정됩니다. 따라서, 자동 증가 필드를 생성할 경우 ``auto_increment``(MySQL), ``bigint PRIMARY KEY GENERATED BY DEFAULT AS IDENTITY``(PostgreSQL) 또는 ``integer primary key autoincrement``(SQLite)와 같이 사용하는 데이터베이스에 따라 적절한 필드타입이 자동으로 선택됩니다. 필드 명에 사용되는 인용부호도 상황에 따라 겹따옴표나 홑따옴표가 적절히 선택됩니다."
Django admin login screen,Django 관리자 로그인 화면
Django admin index page,Django 관리자 색인 페이지
``polls/admin.py``,``polls/admin.py``
"Django admin index page, now with polls displayed","Django 관리자 색인 페이지, 이제 투표가 표시됨"
Polls change list page,투표 변경 목록 페이지
Editing form for question object,질문 개체에 대한 편집 양식
History page for question object,질문 개체의 역사 페이지
``polls/templates/polls/index.html``,``polls/templates/polls/index.html``
``polls/templates/polls/detail.html``,``polls/templates/polls/detail.html``
``polls/templates/polls/results.html``,``polls/templates/polls/results.html``
``polls/tests.py``,``polls/tests.py``
``polls/static/polls/style.css``,``polls/static/polls/style.css``
"Next, we'll create a subdirectory for images. Create an ``images`` subdirectory in the ``polls/static/polls/`` directory. Inside this directory, add any image file that you'd like to use as a background. For the purposes of this tutorial, we're using a file named ``background.png``, which will have the full path ``polls/static/polls/images/background.png``.",다음으로 이미지들을 위 하위 디렉터리를 만듭니다. ``polls/static/polls/`` 디렉토리에 ``images`` 하위 디렉토리를 만듭니다. 이 디렉토리 안에 배경으로 사용하려는 이미지 파일을 추가합니다. 이번 튜토리얼에서는 전체 경로가 ``polls/static/polls/images/background.png``인 ``background.png``라는 파일을 사용합니다.
"Then, add a reference to your image in your stylesheet (``polls/static/polls/style.css``):","그런 다음, 스타일시트(``polls/static/polls/style.css``)에 이미지에 대한 참조를 추가합니다:"
Fields have been reordered,필드가 재정렬되었습니다.
Form has fieldsets now,이제 양식에 필드 세트가 있습니다.
Choice admin page,선택 관리자 페이지
Add question page now has choices on it,이제 질문 추가 페이지에 선택 항목이 있습니다.
Additional slot added dynamically,동적으로 추가된 추가 슬롯
Add question page now has more compact choices,이제 질문 추가 페이지에 더 간결한 선택 항목이 있습니다.
"Polls change list page, updated","설문조사 변경 목록 페이지, 업데이트됨"
