source (en),translation (ko)
"The major changes in this release (for developers currently using the 0.91 release) are a result of merging the 'magic-removal' branch of development. This branch removed a number of constraints in the way Django code had to be written that were a consequence of decisions made in the early days of Django, prior to its open-source release. It's now possible to write more natural, Pythonic code that works as expected, and there's less ""black magic"" happening behind the scenes.","이 릴리스(현재 0.91 릴리스를 사용하는 개발자를 위한)의 주요 변경 사항은 '마법 제거' 개발 브랜치를 병합한 결과입니다. 이 브랜치는 Django의 오픈 소스 릴리스 이전 초기에 내린 결정의 결과인 Django 코드 작성 방식의 여러 제약 조건을 제거했습니다. 이제 예상대로 작동하는 보다 자연스러운 Python 코드를 작성할 수 있으며, 배후에서 발생하는 ""흑마법""이 줄어듭니다."
"Aside from that, another main theme of this release is a dramatic increase in usability. We've made countless improvements in error messages, documentation, etc., to improve developers' quality of life.","그 외에도, 이번 릴리스의 또 다른 주요 테마는 사용 편의성의 극적인 증가입니다. 우리는 개발자의 삶의 질을 향상시키기 위해 오류 메시지, 문서 등에서 수 많은 개선을 했습니다."
The new features and changes introduced in 0.95 include:,0.95에 도입된 새로운 기능과 변경 사항은 다음과 같습니다:
Django now uses a more consistent and natural filtering interface for retrieving objects from the database.,Django는 이제 데이터베이스에서 개체를 검색하기 위해 보다 일관되고 자연스러운 필터링 인터페이스를 사용합니다.
"User-defined models, functions and constants now appear in the module namespace they were defined in. (Previously everything was magically transferred to the ``django.models.*`` namespace.)","사용자 정의 모델, 함수 및 상수는 이제 정의된 모듈 네임스페이스에 나타납니다. (이전에는 모든 것이 마술처럼 ``django.models.*`` 네임스페이스로 전송되었습니다.)"
"Some optional applications, such as the FlatPage, Sites and Redirects apps, have been decoupled and moved into ``django.contrib``. If you don't want to use these applications, you no longer have to install their database tables.","FlatPage, Sites 및 Redirects 앱과 같은 일부 선택적 애플리케이션은 분리되어 ``django.contrib``로 이동되었습니다. 이러한 응용 프로그램을 사용하지 않으려면 더 이상 해당 데이터베이스 테이블을 설치할 필요가 없습니다."
Django now has support for managing database transactions.,Django는 이제 데이터베이스 트랜잭션 관리를 지원합니다.
"We've added the ability to write custom authentication and authorization backends for authenticating users against alternate systems, such as LDAP.",LDAP와 같은 대체 시스템에 대해 사용자를 인증하기 위해 사용자 지정 인증 및 승인 백엔드를 작성하는 기능을 추가했습니다.
"We've made it easier to add custom table-level functions to models, through a new ""Manager"" API.","새로운 ""관리자"" API를 통해 모델에 사용자 지정 테이블 수준의 기능들을 더 쉽게 추가할 수 있습니다."
"It's now possible to use Django without a database. This simply means that the framework no longer requires you to have a working database set up just to serve dynamic pages. In other words, you can just use URLconfs/views on their own. Previously, the framework required that a database be configured, regardless of whether you actually used it.","이제 데이터베이스 없이 Django를 사용할 수 있습니다. 이는 프레임워크가 더 이상 동적 페이지를 제공하기 위해 작업 데이터베이스를 설정할 필요가 없음을 의미합니다. 즉, URLconfs/views를 자체적으로 사용할 수 있습니다. 이전에는 실제로 데이터베이스를 사용했는지 여부에 관계없이 프레임워크에서 데이터베이스를 구성해야 했습니다."
"It's now more explicit and natural to override ``save()`` and ``delete()`` methods on models, rather than needing to hook into the ``pre_save()`` and ``post_save()`` method hooks.","이제 ``pre_save()`` 및 ``post_save()`` 메서드 후크에 연결할 필요 없이, 모델에서 ``save()`` 및 ``delete()`` 메서드를 더 명확하고 자연스럽게 재정의할 수 있습니다."
"Individual pieces of the framework now can be configured without requiring the setting of an environment variable. This permits use of, for example, the Django templating system inside other applications.","이제 환경 변수를 설정하지 않고도 프레임워크의 개별 부분을 구성할 수 있습니다. 이를 통해, 예를 들어, 다른 애플리케이션 내에서 Django 템플릿 시스템을 사용할 수 있습니다."
"More and more parts of the framework have been internationalized, as we've expanded internationalization (i18n) support. The Django codebase, including code and templates, has now been translated, at least in part, into 31 languages. From Arabic to Chinese to Hungarian to Welsh, it is now possible to use Django's admin site in your native language.","국제화(i18n) 지원을 확장함에 따라, 프레임워크의 더 많은 부분이 국제화되었습니다. 코드와 템플릿을 포함한 Django 코드베이스는 이제 적어도 부분적으로는 31개 언어로 번역되었습니다. 아랍어에서 중국어, 헝가리어, 웨일스어에 이르기까지 이제 Django의 관리 사이트를 모국어로 사용할 수 있습니다."
"The number of changes required to port from 0.91-compatible code to the 0.95 code base are significant in some cases. However, they are, for the most part, reasonably routine and only need to be done once. A list of the necessary changes is described in the `Removing The Magic`_ wiki page. There is also an easy checklist_ for reference when undertaking the porting operation.",경우에 따라 0.91 호환 코드에서 0.95 코드 베이스로 포팅하는 데 필요한 변경 사항의 수가 중요합니다. 그러나 대부분의 변경들은 합리적으로 일상적이며 한 번만 수행하면 됩니다. 필요한 변경 목록은 `Removing The Magic`_ 위키 페이지에 설명되어 있습니다. 포팅 작업을 수행할 때 참조할 수 있는 쉬운 체크리스트_도 있습니다.
